question,tsne1,tsne2,question_type,question_type_id,kmeans_k6,dbscan_e2_s7
Do you have information about Refractive eye surgery - what to ask your doctor,8.451976,-0.8515959,information,6,0,0
Do you have information about Ammonium hydroxide poisoning,79.203995,70.73506,information,6,1,-1
Do you have information about Lymphangiogram,-2.2997186,-13.607514,information,6,0,0
Do you have information about Folic acid in diet,-1.5881742,-0.6187513,information,6,0,0
What is (are) Incontinentia pigmenti ?,-55.647964,32.53896,information,6,4,1
What causes Incontinentia pigmenti ?,-55.64802,32.538933,causes,0,4,1
What are the symptoms of Incontinentia pigmenti ?,-55.647995,32.538944,symptoms,10,4,1
How to diagnose Incontinentia pigmenti ?,-55.64804,32.53892,exams_tests,3,4,1
What are the treatments for Incontinentia pigmenti ?,-55.64799,32.538944,treatment,11,4,1
What is the outlook for Incontinentia pigmenti ?,-55.648037,32.538925,outlook,8,4,1
Do I need to see a doctor for Incontinentia pigmenti ?,-55.648186,32.538857,contact_medical_professional,2,4,1
How to prevent Incontinentia pigmenti ?,-55.64809,32.5389,prevention,9,4,1
What is (are) Mnire disease ?,63.2248,-42.38789,information,6,2,2
What causes Mnire disease ?,63.2248,-42.387894,causes,0,2,2
What are the symptoms of Mnire disease ?,63.2248,-42.38789,symptoms,10,2,2
How to diagnose Mnire disease ?,63.2248,-42.38789,exams_tests,3,2,2
What are the treatments for Mnire disease ?,63.224804,-42.38789,treatment,11,2,2
What is the outlook for Mnire disease ?,63.2248,-42.38789,outlook,8,2,2
Do I need to see a doctor for Mnire disease ?,63.224804,-42.387894,contact_medical_professional,2,2,2
How to prevent Mnire disease ?,63.2248,-42.38789,prevention,9,2,2
What is (are) Coal worker's pneumoconiosis ?,53.6676,-13.712558,information,6,2,3
What causes Coal worker's pneumoconiosis ?,53.667595,-13.712558,causes,0,2,3
What are the symptoms of Coal worker's pneumoconiosis ?,53.6676,-13.712559,symptoms,10,2,3
How to diagnose Coal worker's pneumoconiosis ?,53.6676,-13.712559,exams_tests,3,2,3
What are the treatments for Coal worker's pneumoconiosis ?,53.667595,-13.712559,treatment,11,2,3
What is the outlook for Coal worker's pneumoconiosis ?,53.667595,-13.712558,outlook,8,2,3
